publ_id,title
9564,"Reachability Analysis of Neural Masses and Seizure Control Based on Combination Convolutional Neural Network."
15218,"Recognition of words from brain-generated signals of speech-impaired people - Application of autoencoders as a neural Turing machine controller in deep neural networks."
131084,"Artificial neural network based screening of cervical cancer using a hierarchical modular neural network architecture (HMNNA) and novel benchmark uterine cervix cancer database."
133698,"Evaluating performance of neural codes in model neural communication networks."
133804,"Neural dynamics of emotion and cognition - From trajectories to underlying neural geometry."
134062,"Real-Time Implementation of a Neural Integrator Backstepping Control via Recurrent Wavelet First Order Neural Network."
205841,"Cyber Attack Detection by Using Neural Network Approaches - Shallow Neural Network, Deep Neural Network and AutoEncoder."
329170,"Artificial Neural Networks and Machine Learning - ICANN 2019 - Theoretical Neural Computation - 28th International Conference on Artificial Neural Networks, Munich, Germany, September 17-19, 2019, Proceedings, Part I"
379029,"General Regression Neural Networks, Radial Basis Function Neural Networks, Support Vector Machines, and Feedforward Neural Networks."
478959,"Multi-objective symbolic regression using long-term artificial neural network memory (LTANN-MEM) and neural symbolization algorithm (NSA)."
481435,"Neural electrical activity and neural network growth."
481454,"Estimation of neural connections from partially observed neural spikes."
517025,"Neural Observer and Adaptive Neural Control Design for a Class of Nonlinear Systems."
517124,"Hybrid Fuzzy Wavelet Neural Networks Architecture Based on Polynomial Neural Networks and Fuzzy Set/Relation Inference-Based Wavelet Neurons."
738489,"Neural Signal Processing - Electrode-based Brain Imaging, Focalized Neural Stimulation, and Neural Dynamics Study."
820509,"Predicting river daily flow using wavelet-artificial neural networks based on regression analyses in comparison with artificial neural networks and support vector machine models."
853726,"The Growing Hierarchical Neural Gas Self-Organizing Neural Network."
853734,"Fractional Hopfield Neural Networks - Fractional Dynamic Associative Recurrent Neural Networks."
1139052,"Editorial - Neural Processing Letters Special Issue on "Neural Networks for Vision and Robotics"."
1435394,"Corrigendum to "Feedback associative memory based on a new hybrid model of generalized regression and self feedback neural networks" [Neural Netw. 23(7) (2010) 892-904]."
1435521,"Neural coordination can be enhanced by occasional interruption of normal firing patterns - A self-optimizing spiking neural network model."
1462480,"Lag Synchronization of Switched Neural Networks via Neural Activation Function and Applications in Image Encryption."
1695246,"Studying the Role of Synchronized and Chaotic Spiking Neural Ensembles in Neural Information Processing."
1726079,"Design of hybrid radial basis function neural networks (HRBFNNs) realized with the aid of hybridization of fuzzy clustering method (FCM) and polynomial neural networks (PNNs)."
1890978,"A neural rehabilitation chip with neural recording, peak detection, spike rate counter, and biphasic neural stimulator."
2002160,"Comparison of multi-objective evolutionary neural network, adaptive neuro-fuzzy inference system and bootstrap-based neural network for flood forecasting."
2002234,"Applications of neural computing in the twenty-first century and 21 years of Neural Computing & Applications."
2004333,"Modular Neural Tile Architecture for Compact Embedded Hardware Spiking Neural Network."
2272544,"Erratum ("A State-Space Analysis for Reconstruction of Goal-Directed Movements Using Neural Signals" Neural Computation, Volume 18, Number 10, pp. 2465-2494)."
2274568,"A year of neural network research - Special Issue on the 2011 International Joint Conference on Neural Networks."
2295418,"Neural-Fitted TD-Leaf Learning for Playing Othello With Structured Neural Networks."
2525451,"Comparison on Zhang neural dynamics and gradient-based neural dynamics for online solution of nonlinear time-varying equation."
2546520,"Phase Synchronization Motion and Neural Coding in Dynamic Transmission of Neural Information."
2546529,"Zhang Neural Network Versus Gradient Neural Network for Solving Time-Varying Linear Inequalities."
2984601,"Stability analysis of discrete-time recurrent neural networks based on standard neural network models."
2984703,"Persistent Neural States - Stationary Localized Activity Patterns in Nonlinear Continuous n-Population, q-Dimensional Neural Networks."
2986034,"Facilitating neural dynamics for delay compensation - A road to predictive neural dynamics?"
3128686,"Self-Organizing Neural Grove - Efficient Multiple Classifier System with Pruned Self-Generating Neural Trees."
3177909,"Pruning Artificial Neural Networks Using Neural Complexity Measures."
3197478,"Deterministic neural dynamics transmitted through neural networks."
3333051,"Dynamic Brain - from Neural Spikes to Behaviors, 12th International Summer School on Neural Networks, Erice, Italy, December 5-12, 2007, Revised Lectures"
3391722,"Reducing uncertainties in neural network Jacobians and improving accuracy of neural network emulations with NN ensemble approaches."
3391733,"Erratum to "Fast neural network surrogates for very high dimensional physics-based models in computational oceanography" [Neural Netw. 20(4) (2007) 462-478]."
3406838,"The Hierarchical Fast Learning Artificial Neural Network (HieFLANN) - An Autonomous Platform for Hierarchical Neural Network Construction."
3571393,"Erratum to "An on-line algorithm for creating self-organizing fuzzy neural networks" [Neural Networks 17(10)(2004)1477-1493]."
3571398,"Erratum to "Applications of neural network methods to the processing of earth observation satellite data" [Neural Netw. (2) (2006) 168-177]."
3733958,"Neural Splines - Exploiting Parallelism for Fuction Approximation Using Modular Neural Networks."
3733959,"Neural and Fuzzy Neural Networks in Prediction of Natural Gas Consumption."
